"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"1",0,61.1098039215686,76.5137254901961,61.2509803921569,60.3450980392157,73.243137254902,73.4980392156863,65.3882352941176,60.8352941176471,65.3764705882353,56.5686274509804,52.2078431372549,69.2823529411765,63.678431372549,76.5725490196078,60.7803921568627,92.9372549019608,54.1333333333333,64.7372549019608,70.8235294117647,73.4549019607843,78.443137254902,69.8235294117647,57.9529411764706,72.043137254902,62.0509803921569
"2",61.1098039215686,0,50.7764705882353,28.7058823529412,23.7294117647059,38.1960784313725,44.3098039215686,26.8980392156863,57.2235294117647,49.8745098039216,43.3960784313726,41.0274509803922,63.5294117647059,40.7882352941176,57.078431372549,27.6549019607843,77.3098039215686,25.7764705882353,33.2509803921569,59.0156862745098,37.9921568627451,66.6039215686275,58.7529411764706,58.2156862745098,63.5607843137255,40.1882352941176
"3",76.5137254901961,50.7764705882353,0,46.556862745098,44.6392156862745,49.2,18.0509803921569,61.0078431372549,53.7254901960784,42.8862745098039,62.3294117647059,49.843137254902,69.0352941176471,62.8745098039216,38.5921568627451,59.8509803921569,59.3019607843137,62.3960784313726,42.5921568627451,49.5254901960784,41.4901960784314,65.3647058823529,70.5882352941177,62.2705882352941,61.6470588235294,44.8156862745098
"4",61.2509803921569,28.7058823529412,46.556862745098,0,34.5137254901961,44.556862745098,51.0941176470588,40.2078431372549,37.6078431372549,35.3333333333333,48.5176470588235,30.0235294117647,78.2274509803922,39.7294117647059,35.7058823529412,28.9411764705882,63.0352941176471,37.7921568627451,39.5960784313725,53.0235294117647,21.2313725490196,58.1098039215686,72.9960784313726,57.7607843137255,60.3137254901961,42
"5",60.3450980392157,23.7294117647059,44.6392156862745,34.5137254901961,0,19.5960784313725,50.7764705882353,31.2627450980392,44.7176470588235,49.8705882352941,29.5882352941176,33.0705882352941,69.6196078431373,36.0235294117647,51.7725490196078,33.1647058823529,75.3372549019608,27.2313725490196,31.0666666666667,44.7529411764706,38.0117647058824,62.3176470588235,62.3490196078431,41.6392156862745,49.9411764705882,28.6235294117647
"6",73.243137254902,38.1960784313725,49.2,44.556862745098,19.5960784313725,0,56.6470588235294,40.9607843137255,42.8392156862745,53.356862745098,34.1882352941176,46.8156862745098,62.6823529411765,43.5882352941176,63.4705882352941,27.3254901960784,81.2,34.6627450980392,44.5372549019608,39.478431372549,44.8235294117647,53.0196078431373,63.4352941176471,48.2549019607843,47.6156862745098,46.0313725490196
"7",73.4980392156863,44.3098039215686,18.0509803921569,51.0941176470588,50.7764705882353,56.6470588235294,0,58.5490196078431,57.4705882352941,46.9921568627451,63.478431372549,56.8039215686275,67.243137254902,62.2196078431373,45.6862745098039,58.6627450980392,60.3098039215686,63.1921568627451,42.4705882352941,57.2313725490196,45.2745098039216,67.7921568627451,63.956862745098,62.4392156862745,68.0980392156863,47.5803921568627
"8",65.3882352941176,26.8980392156863,61.0078431372549,40.2078431372549,31.2627450980392,40.9607843137255,58.5490196078431,0,69.3294117647059,51,35.078431372549,43.0313725490196,53.1882352941176,26.9411764705882,73.8039215686274,39.2823529411765,75.8941176470588,30.9725490196078,42.5490196078431,68.7058823529412,35.2823529411765,62.0274509803922,43.2196078431373,56.1960784313725,64.9137254901961,50.6235294117647
"9",60.8352941176471,53.5921568627451,53.7254901960784,37.6078431372549,44.7176470588235,35.3411764705882,57.4705882352941,58.2235294117647,0,37.278431372549,58.2666666666667,21.8588235294118,86.4470588235294,63.6901960784314,61.0627450980392,38.0313725490196,84.5490196078431,53.0078431372549,52.3960784313726,21.8156862745098,50.321568627451,60.6352941176471,85.9843137254902,45.6509803921569,37.2862745098039,41.0039215686274
"10",65.3764705882353,49.8745098039216,42.8862745098039,35.3333333333333,49.8705882352941,53.356862745098,46.9921568627451,51,31.4745098039216,0,62.7764705882353,53.9450980392157,86.2196078431373,50.3882352941176,68.1921568627451,52.2196078431373,63.7725490196078,59.7058823529412,42.0666666666667,42.756862745098,25.6705882352941,60.4313725490196,72.2901960784314,57.4941176470588,58.5803921568627,49.6549019607843
"11",56.5686274509804,43.3960784313726,62.3294117647059,48.5176470588235,29.5882352941176,34.1882352941176,63.478431372549,35.078431372549,58.6823529411765,62.7764705882353,0,49.4588235294118,59.0274509803922,34.4823529411765,76.2705882352941,42.7686274509804,86.5960784313725,22.2470588235294,46.2313725490196,59.7137254901961,50.2509803921569,62.2196078431373,51.843137254902,35.0313725490196,57.2470588235294,41.8509803921569
"12",52.2078431372549,41.0274509803922,49.843137254902,30.0235294117647,33.0705882352941,46.8156862745098,56.8039215686275,43.0313725490196,21.8588235294118,53.9450980392157,49.4588235294118,0,76.2666666666667,50.6156862745098,51.4549019607843,48.8470588235294,74.956862745098,49.878431372549,49.9254901960784,53.1647058823529,38.0156862745098,68.1882352941176,71.5529411764706,52.9686274509804,53.0588235294118,43.9529411764706
"13",69.2823529411765,63.5294117647059,69.0352941176471,78.2274509803922,69.6196078431373,62.6823529411765,67.243137254902,53.1882352941176,92.4235294117647,86.2196078431373,59.0274509803922,76.2666666666667,0,50.6941176470588,86.0901960784314,63.843137254902,83.8196078431372,55.8941176470588,78.0039215686274,84.1372549019608,79.1607843137255,77.2549019607843,45.443137254902,70.2392156862745,70.9333333333333,70.4705882352941
"14",63.678431372549,40.7882352941176,62.8745098039216,39.7294117647059,36.0235294117647,43.5882352941176,62.2196078431373,26.9411764705882,69.9176470588235,50.3882352941176,34.4823529411765,50.6156862745098,50.6941176470588,0,69.5529411764706,42.9764705882353,77.1098039215686,36.3686274509804,44.5254901960784,65.0588235294118,35.6196078431373,64.2156862745098,48.5843137254902,44.8549019607843,58.3254901960784,53.7450980392157
"15",70.1882352941176,48.443137254902,27.0235294117647,35.5333333333333,51.7725490196078,62.4980392156863,32.1254901960784,62.721568627451,61.0627450980392,37.7372549019608,71.156862745098,51.4549019607843,69.8,60.956862745098,0,53.9960784313726,47.643137254902,60.6196078431373,41.5686274509804,59.3254901960784,35.2196078431373,56.6549019607843,65.6745098039216,75.4039215686275,71.5176470588235,50.2941176470588
"16",60.7803921568627,27.6549019607843,59.8509803921569,28.9411764705882,33.1647058823529,27.3254901960784,58.6627450980392,39.2823529411765,38.0313725490196,52.2196078431373,42.7686274509804,48.8470588235294,63.843137254902,42.9764705882353,53.9960784313726,0,75.843137254902,27.1647058823529,42.0666666666667,49.9803921568627,40.3529411764706,49.8980392156863,68.3372549019608,57.0549019607843,54.556862745098,49.0039215686275
"17",92.5529411764706,68.2588235294118,46.7058823529412,56.0549019607843,71.7529411764706,81.2,51.3764705882353,75.8941176470588,84.5490196078431,58.8549019607843,86.5960784313725,71.5529411764706,83.8196078431372,77.1098039215686,63.6117647058824,74.9098039215686,0,80.7333333333333,62.0352941176471,75.9725490196078,52.5490196078431,64.643137254902,71.6235294117647,84.9058823529412,87.043137254902,70.6823529411765
"18",54.1333333333333,25.7764705882353,62.3960784313726,37.7921568627451,27.2313725490196,34.6627450980392,63.1921568627451,30.9725490196078,60.8039215686275,59.7058823529412,22.2470588235294,49.878431372549,55.8941176470588,36.3686274509804,72.1647058823529,27.1647058823529,84.7803921568627,0,40.2352941176471,65.1372549019608,48.4823529411765,62.6549019607843,58.9686274509804,49.2941176470588,68.3490196078431,47.6509803921569
"19",64.7372549019608,33.2509803921569,42.5921568627451,39.5960784313725,31.0666666666667,44.5372549019608,42.4705882352941,42.5490196078431,52.3960784313726,42.0666666666667,46.2313725490196,49.9254901960784,78.0039215686274,44.5254901960784,54.4313725490196,42.0666666666667,74.0980392156863,40.2352941176471,0,52.6039215686274,39.2666666666667,62.2549019607843,67.9411764705882,51.356862745098,55.7137254901961,32.1843137254902
"20",64.7686274509804,59.0156862745098,49.5254901960784,48.4823529411765,44.7529411764706,39.478431372549,57.2313725490196,68.7058823529412,21.8156862745098,42.756862745098,59.7137254901961,37.7843137254902,84.1372549019608,65.0588235294118,59.3725490196078,48.8666666666667,75.9725490196078,63.3882352941176,52.6039215686274,0,51.7450980392157,55.8470588235294,81.2196078431373,52.0313725490196,31.8235294117647,43.2666666666667
"21",73.4549019607843,37.9921568627451,41.4901960784314,21.2313725490196,38.0117647058824,44.8235294117647,45.2745098039216,35.2823529411765,55.4274509803922,25.6705882352941,50.2509803921569,38.0156862745098,79.1607843137255,35.6196078431373,49.6745098039216,40.3529411764706,52.5490196078431,48.4823529411765,39.2666666666667,51.7450980392157,0,47.8666666666667,65.756862745098,60.6,55.2627450980392,44.7294117647059
"22",81.4313725490196,66.6039215686275,65.3647058823529,58.1098039215686,62.3176470588235,53.0196078431373,67.7921568627451,62.0274509803922,60.6352941176471,60.4313725490196,62.2196078431373,68.1882352941176,77.2549019607843,64.2156862745098,63.8156862745098,49.8980392156863,64.643137254902,62.6549019607843,62.2549019607843,55.8470588235294,47.8666666666667,0,63.0745098039216,66.0352941176471,49.4274509803922,64.3607843137255
"23",69.8235294117647,58.7529411764706,70.5882352941177,72.9960784313726,62.3490196078431,63.4352941176471,63.956862745098,43.2196078431373,88.2901960784314,72.2901960784314,51.843137254902,71.5529411764706,45.443137254902,48.5843137254902,82.3647058823529,68.3372549019608,71.6235294117647,58.9686274509804,67.9411764705882,81.2196078431373,65.756862745098,63.0745098039216,0,62.6627450980392,78.0862745098039,66.8627450980392
"24",57.9529411764706,58.2156862745098,62.2705882352941,57.7607843137255,41.6392156862745,48.2549019607843,62.4392156862745,56.1960784313725,45.6509803921569,57.4941176470588,35.0313725490196,52.9686274509804,70.2392156862745,44.8549019607843,75.7411764705882,57.0549019607843,84.9058823529412,49.2941176470588,51.356862745098,52.0313725490196,60.6,66.0352941176471,62.6627450980392,0,39.6745098039216,33.7921568627451
"25",70.8745098039216,63.5607843137255,61.6470588235294,60.3137254901961,49.9411764705882,47.6156862745098,68.0980392156863,64.9137254901961,37.2862745098039,58.878431372549,57.2470588235294,53.0588235294118,70.9333333333333,58.3254901960784,71.5176470588235,54.556862745098,87.043137254902,68.3490196078431,55.7137254901961,31.8235294117647,55.2627450980392,49.4274509803922,78.0862745098039,39.6745098039216,0,41.043137254902
"26",62.0509803921569,40.1882352941176,44.8156862745098,42,28.6235294117647,46.0313725490196,47.5803921568627,50.6235294117647,41.0039215686274,49.6549019607843,41.8509803921569,43.9529411764706,70.4705882352941,53.7450980392157,59.0470588235294,49.0039215686275,73.1607843137255,47.6509803921569,32.1843137254902,43.2666666666667,44.7294117647059,64.3607843137255,66.8627450980392,33.7921568627451,41.043137254902,0
